group_index,A,B,N,mse
1,-0.04554300048861058,-0.0005767136535506307,-0.0005767136535506307,5.50063225763048e-09
2,0.34666173679792944,-0.06500197074830302,-0.06500197074830302,6.484822890146741e-09
3,-3.5886680354432663,1.5203860675557603,1.5203860675557603,1.824091634106596e-09
4,-1.1554431650692538,-0.6005033359601774,-0.6005033359601774,0.00901834464386756
5,-0.6487091025269099,-0.3771645714060246,-0.3771645714060246,0.001026650448703926
6,-0.3123227121574796,-0.18252241628735869,-0.18252241628735869,0.011296541420394211
7,-0.16747348111814858,-0.4504023383582848,-0.4504023383582848,0.0002724768276012831
8,-1.3426505386566614,-0.09558675800310645,-0.09558675800310645,8.488925251904712e-09
9,0.032917424507592274,-0.0777750598349223,-0.0777750598349223,8.236712767013109e-08
